iter	Passed	Remaining
616	27327	61254
617	27374	61217
618	27391	61110
619	27432	61059
620	27475	61011
621	27516	60961
622	27559	60913
623	27601	60863
624	27619	60763
625	27663	60718
626	27707	60674
627	27748	60623
628	27790	60574
629	27835	60530
630	27879	60486
631	27921	60438
632	27963	60389
633	27984	60295
634	28029	60252
635	28071	60203
636	28112	60153
637	28155	60107
638	28172	60003
639	28218	59963
640	28262	59919
641	28290	59842
642	28333	59795
643	28375	59746
644	28393	59648
645	28413	59553
646	28440	59474
647	28479	59420
648	28521	59372
649	28571	59340
650	28617	59301
651	28660	59255
652	28702	59207
653	28749	59169
654	28791	59121
655	28813	59033
656	28859	58992
657	28902	58947
658	28946	58903
659	28989	58856
660	29033	58814
661	29078	58770
662	29095	58674
663	29136	58623
664	29155	58529
665	29169	58426
666	29208	58373
667	29256	58338
668	29301	58295
669	29347	58256
670	29391	58213
671	29435	58169
672	29478	58124
673	29522	58081
674	29563	58032
675	29606	57985
676	29650	57942
677	29691	57894
678	29733	57847
679	29752	57755
680	29797	57713
681	29843	57674
682	29886	57629
683	29928	57582
684	29972	57537
685	30014	57492
686	30058	57448
687	30103	57406
688	30145	57360
689	30187	57313
690	30229	57266
691	30270	57217
692	30322	57187
693	30364	57141
694	30406	57093
695	30448	57047
696	30490	57001
697	30533	56954
698	30575	56908
699	30617	56861
700	30660	56815
701	30699	56764
702	30742	56718
703	30784	56672
704	30831	56633
705	30881	56600
706	30927	56562
707	30970	56516
708	30991	56431
709	31034	56387
710	31076	56339
711	31120	56295
712	31164	56252
713	31180	56159
714	31219	56108
715	31264	56065
716	31309	56024
717	31353	55982
718	31401	55945
719	31443	55900
720	31485	55852
721	31528	55808
722	31568	55758
723	31611	55712
724	31652	55665
725	31696	55621
726	31737	55574
727	31780	55528
728	31825	55487
729	31872	55449
730	31919	55410
731	31963	55368
732	31978	55276
733	31995	55185
734	32021	55112
735	32039	55024
736	32076	54969
737	32114	54917
738	32158	54873
739	32200	54827
740	32242	54781
741	32286	54738
742	32328	54693
743	32372	54650
744	32418	54611
745	32462	54567
746	32506	54525
747	32548	54479
748	32590	54434
749	32633	54388
750	32676	54344
751	32717	54297
752	32761	54253
753	32782	54173
754	32826	54131
755	32870	54088
756	32892	54009
757	32930	53957
758	32975	53917
759	33020	53875
760	33064	53833
761	33109	53792
762	33153	53748
763	33195	53703
764	33238	53658
765	33280	53613
766	33326	53574
767	33368	53527
768	33411	53484
769	33453	53438
770	33500	53400
771	33543	53356
772	33584	53310
773	33624	53260
774	33665	53213
775	33711	53173
776	33753	53128
777	33781	53059
778	33826	53019
779	33869	52974
780	33911	52929
781	33954	52886
782	33996	52840
783	34042	52800
784	34083	52752
785	34123	52704
786	34167	52661
787	34209	52616
788	34250	52569
789	34271	52492
790	34314	52448
791	34356	52402
792	34398	52357
793	34440	52312
794	34484	52269
795	34531	52231
796	34574	52186
797	34590	52102
798	34631	52056
799	34673	52010
800	34720	51972
801	34762	51927
802	34808	51888
803	34837	51823
804	34879	51777
805	34923	51735
806	34974	51702
807	35019	51662
808	35035	51578
809	35080	51537
810	35097	51456
811	35139	51411
812	35157	51330
813	35197	51282
814	35237	51234
815	35280	51190
816	35324	51149
817	35366	51103
818	35387	51029
819	35429	50983
820	35471	50938
821	35514	50894
822	35563	50860
823	35609	50821
824	35649	50773
825	35693	50732
826	35736	50688
827	35757	50613
828	35800	50569
829	35845	50529
830	35888	50485
831	35931	50442
832	35974	50398
833	36019	50358
834	36061	50313
835	36104	50270
836	36153	50234
837	36195	50189
838	36237	50145
839	36280	50101
840	36323	50058
841	36366	50014
842	36408	49969
843	36426	49892
844	36444	49815
845	36489	49773
846	36548	49752
847	36576	49688
848	36618	49643
849	36665	49606
850	36712	49568
851	36754	49524
852	36796	49479
853	36839	49435
854	36882	49391
855	36925	49348
856	36968	49305
857	36994	49239
858	37016	49168
859	37061	49128
860	37089	49064
861	37131	49020
862	37174	48976
863	37195	48904
864	37240	48864
865	37283	48821
866	37325	48777
867	37368	48733
868	37410	48689
869	37452	48645
870	37497	48604
871	37514	48528
872	37556	48484
873	37600	48442
874	37643	48398
875	37684	48352
876	37711	48289
877	37756	48249
878	37798	48205
879	37844	48165
880	37859	48086
881	37900	48041
882	37942	47997
883	38006	47980
884	38049	47938
885	38092	47894
886	38113	47825
887	38155	47780
888	38216	47759
889	38265	47724
890	38301	47672
891	38346	47632
892	38374	47570
893	38443	47560
894	38474	47501
895	38550	47500
896	38635	47507
897	38690	47479
898	38749	47456
899	38778	47395
900	38828	47361
901	38878	47326
902	38923	47285
903	38994	47276
904	39047	47245
905	39107	47222
906	39152	47181
907	39180	47119
908	39222	47076
909	39266	47033
910	39308	46989
911	39354	46948
912	39396	46904
913	39440	46862
914	39464	46796
915	39517	46765
916	39561	46723
917	39589	46662
918	39606	46588
919	39633	46526
920	39675	46481
921	39719	46439
922	39761	46395
923	39804	46352
924	39845	46306
925	39888	46263
926	39932	46221
927	39978	46181
928	40027	46145
929	40069	46101
930	40086	46027
931	40130	45986
932	40191	45963
933	40212	45895
934	40277	45877
935	40335	45851
936	40380	45810
937	40443	45789
938	40486	45746
939	40550	45726
940	40567	45655
941	40610	45610
942	40653	45568
943	40718	45550
944	40771	45517
945	40799	45456
946	40825	45394
947	40874	45358
948	40919	45317
949	40961	45273
950	40979	45201
951	41021	45158
952	41066	45116
953	41110	45074
954	41156	45034
955	41201	44993
956	41245	44951
957	41289	44909
958	41331	44865
959	41375	44823
960	41416	44778
961	41444	44718
962	41485	44673
